"Code","Group","Category","Meaning"
"OK","*UNKNOWN","*UNKNOWN","*UNKNOWN"
"BL","Coral Condition","Bleaching","Bleached"
"P","Coral Condition","Bleaching","Pale"
"PB","Coral Condition","Bleaching","Partial bleaching"
"SP","Coral Condition","Bleaching","Slightly pale"
"VP","Coral Condition","Bleaching","Very pale"
"BROKEN","Coral Condition","Damage","Broken"
"DETACHED","Coral Condition","Damage","Detached"
"DISLODGED","Coral Condition","Damage","Dislodged"
"FALLEN","Coral Condition","Damage","Fallen"
"FRAG","Coral Condition","Damage","Fragmented"
"LOOSE","Coral Condition","Damage","Loose"
"OVER","Coral Condition","Damage","Over"
"TOPPLED","Coral Condition","Damage","Toppled"
"ATL","Coral Condition","Disease","Acute/rapid tissue loss"
"BBD","Coral Condition","Disease","Black band disease"
"DCOR","Coral Condition","Disease","Diseased coral"
"DSD","Coral Condition","Disease","Dark spot disease"
"IMS","Coral Condition","Disease","Intercostal mortality syndrome"
"PLA","Coral Condition","Disease","White plague"
"PLA?","Coral Condition","Disease","Suspected white plague"
"SCTLD","Coral Condition","Disease","Stony coral tissue loss disease"
"SCTLD?","Coral Condition","Disease","Suspected stony coral tissue loss disease"
"UNK","Coral Condition","Disease","Unknown disease"
"WBD","Coral Condition","Disease","White band disease"
"WP","Coral Condition","Disease","White pox"
"YBD","Coral Condition","Disease","Yellow band disease"
"YBD?","Coral Condition","Disease","Suspected yellow band disease"
"OLDMORT","Coral Condition","Mortality","Old Mortality"
"RECMORT","Coral Condition","Mortality","Recent Mortality"
"AA","Identification","Coral","Agaricia agaricites"
"AC","Identification","Coral","Acropora cervicornis"
"AF","Identification","Coral","Agaricia fragilis"
"AG","Identification","Coral","Agaricia grahamae"
"AGSP","Identification","Coral","Agaricia spp."
"AH","Identification","Coral","Agaricia humilis"
"AL","Identification","Coral","Agaricia lamarcki"
"AP","Identification","Coral","Acropora palmata"
"APR","Identification","Coral","Acropora prolifera"
"AT","Identification","Coral","Agaricia tenuifolia"
"AU","Identification","Coral","Agaricia undata"
"CN","Identification","Coral","Colpophyllia natans"
"DCY","Identification","Coral","Dendrogyra cylindrus"
"DL","Identification","Coral","Diploria labyrinthiformis"
"DSO","Identification","Coral","Dichocoenia stokesii"
"EF","Identification","Coral","Eusmilia fastigiata"
"FF","Identification","Coral","Favia fragum"
"HC","Identification","Coral","Helioseris cucullata"
"IR","Identification","Coral","Isophyllia rigida"
"IS","Identification","Coral","Isophyllia sinuosa"
"LC","Identification","Coral","Leptoseris cucullata (now HC)"
"MA","Identification","Coral","Montastrea annularis (Now OA) confirm this"
"MADSP","Identification","Coral","Madracis spp."
"MAFO","Identification","Coral","Madracis formosa"
"MAL","Identification","Coral","Mycetophyllia aliciae"
"MAN","Identification","Coral","Mussa angulosa"
"MAR","Identification","Coral","Manicina areolata"
"MC","Identification","Coral","Montastraea cavernosa"
"MD","Identification","Coral","Madracis decactis"
"MDA","Identification","Coral","Mycetophyllia danaana"
"MDSP","Identification","Coral","Madracis spp."
"MF","Identification","Coral","Mycetophyllia ferox"
"MILA","Identification","Coral","Millepora alcicornis"
"MILC","Identification","Coral","Millepora complanata"
"MILS","Identification","Coral","Millepora squarrosa"
"MILSP","Identification","Coral","Millepora spp."
"ML","Identification","Coral","Mycetophyllia lamarckiana"
"MM","Identification","Coral","Madracis mirabilis"
"MME","Identification","Coral","Meandrina meandrites"
"MP","Identification","Coral","Madracis pharensis"
"MSPP","Identification","Coral","Montastraea spp."
"MYSP","Identification","Coral","Mycetophyllia spp."
"OA","Identification","Coral","Orbicella annularis"
"OD","Identification","Coral","Oculina diffusa"
"OFAV","Identification","Coral","Orbicella faveolata"
"OFRA","Identification","Coral","Orbicella franksi"
"OX","Identification","Coral","Orbicella species complex"
"PA","Identification","Coral","Porites astreoides"
"PB","Identification","Coral","Porites branneri"
"PBSP","Identification","Coral","Branching Porites spp."
"PC","Identification","Coral","Porites colonensis"
"PCL","Identification","Coral","Pseudodiploria clivosa"
"PD","Identification","Coral","Porites divaricata"
"PF","Identification","Coral","Porites furcata"
"PP","Identification","Coral","Porites porites"
"PS","Identification","Coral","Pseudodiploria strigosa"
"SB","Identification","Coral","Solenastrea bournoni"
"SC","Identification","Coral","Scolymia cubensis"
"SCSP","Identification","Coral","Scolymia spp."
"SH","Identification","Coral","Solenastrea hyades"
"SI","Identification","Coral","Stephanocoenia intersepta"
"SL","Identification","Coral","Scolymia lacera"
"SR","Identification","Coral","Siderastrea radians"
"SS","Identification","Coral","Siderastrea siderea"
"SSPP","Identification","Coral","Siderastrea spp."
"TC","Identification","Coral","Tubastraea coccinea"
"UNK","Identification","Coral","Unknown coral"
"CYAN","Interaction","Cyanobacteria","Cyanobacteria"
"FLCY","Interaction","Cyanobacteria","Filamentous cyanobacteria"
"LYNG","Interaction","Cyanobacteria","Lyngbia spp."
"LYNG/SCX","Interaction","Cyanobacteria","Lyngbia spp. and Schizothrix spp."
"SCX","Interaction","Cyanobacteria","Schizothrix spp."
"ENGO","Interaction","Gorgonian","Encrusting gorgonian"
"ERYTH","Interaction","Gorgonian","Erythropodium caribaeorum"
"FAN","Interaction","Gorgonian","Sea fan"
"GO","Interaction","Gorgonian","Gorgonian"
"PLUME","Interaction","Gorgonian","Sea plume"
"ROD","Interaction","Gorgonian","Sea rod"
"ACET","Interaction","Macroalgae","Acetabularia calcyculus"
"AMPH","Interaction","Macroalgae","Amphiroa spp."
"AVRAIN","Interaction","Macroalgae","Avrainvillea spp."
"CALG","Interaction","Macroalgae","Crustose coralline algae"
"CAUL","Interaction","Macroalgae","Caulerpa spp."
"CODI","Interaction","Macroalgae","Codium isthmocladum"
"DASY","Interaction","Macroalgae","Dasycladus vermicularis"
"DICT","Interaction","Macroalgae","Dictyota spp."
"DICT/FIL","Interaction","Macroalgae","Dictyota spp. and Filamentous turf"
"DICT/FIL/HALI","Interaction","Macroalgae","Dictyota spp. and Filamentous turf and Halimeda spp."
"DICT/HALI","Interaction","Macroalgae","Dictyota spp. and Halimeda spp."
"DICT/HALI/LOBO","Interaction","Macroalgae","Dictyota spp. and Halimeda spp. and Lobophora spp."
"DICT/HALI/SARG","Interaction","Macroalgae","Dictyota spp. and Halimeda spp. and Sargassum spp."
"DICT/LOBO","Interaction","Macroalgae","Dictyota spp. and Lobophora spp."
"DICT/LOBO/SARG","Interaction","Macroalgae","Dictyota spp. and Lobophora spp. and Sargassum spp."
"DICT/MACA","Interaction","Macroalgae","Dictyota spp. and Macroalgae"
"DICT/SARG","Interaction","Macroalgae","Dictyota spp. and Sargassum spp."
"DICT/STYPO","Interaction","Macroalgae","Dictyota spp. and Stypodium spp."
"FIL","Interaction","Macroalgae","Filamentous turf"
"FIL/HALI","Interaction","Macroalgae","Filamentous turf and Halimeda spp."
"FIL/LOBO","Interaction","Macroalgae","Filamentous turf and Lobophora spp."
"FIL/SARG","Interaction","Macroalgae","Filamentous turf and Sargassum spp."
"FILSED","Interaction","Macroalgae","Filamentous turf with sediment"
"GALAX","Interaction","Macroalgae","Galaxura spp."
"HALI","Interaction","Macroalgae","Halimeda spp."
"HALI/LOBO","Interaction","Macroalgae","Halimeda spp. and Lobophora spp."
"JANIA","Interaction","Macroalgae","Jania adherens"
"LAUR","Interaction","Macroalgae","Laurencia spp."
"LIAG","Interaction","Macroalgae","Liagora spp."
"LOBO","Interaction","Macroalgae","Lobophora spp."
"LOBO/SARG","Interaction","Macroalgae","Lobophora spp. and Sargassum spp."
"MACA","Interaction","Macroalgae","Macroalgae"
"MICRO","Interaction","Macroalgae","Microdictyon spp."
"PADINA","Interaction","Macroalgae","Padina spp."
"PEY","Interaction","Macroalgae","Peyssonnelia spp."
"RAMI","Interaction","Macroalgae","Ramicrusta spp."
"SARG","Interaction","Macroalgae","Sargassum spp."
"STYPO","Interaction","Macroalgae","Stypodium spp."
"TURB","Interaction","Macroalgae","Turbinaria spp."
"TURF","Interaction","Macroalgae","Turf algae"
"UDO","Interaction","Macroalgae","Udotea spp."
"VALON","Interaction","Macroalgae","Valonia spp."
"VENT","Interaction","Macroalgae","Ventricaria ventricosa"
"ABRASION","Interaction","Other","Abrasion"
"ACRAB","Interaction","Other","Arrow crab"
"ANEM","Interaction","Other","Anenome"
"ARTCALG","Interaction","Other","Articulated calcareous algae"
"ARTCOR","Interaction","Other","Articulated coralline algae"
"BASKET STAR","Interaction","Other","Basket star"
"BIVALVE","Interaction","Other","Bivalve"
"BO","Interaction","Other","Boring species"
"BORFISH","Interaction","Other","Boring fish"
"CLAM","Interaction","Other","Clam"
"CMOR","Interaction","Other","Corallimorph"
"CRINOID","Interaction","Other","Crinoid"
"DIAD","Interaction","Other","Diadema antillarum"
"EDGE","Interaction","Other","Edge"
"HERMIT","Interaction","Other","Hermit crab"
"HSTIP","Interaction","Other","Halophila stipulacea"
"MUCUS","Interaction","Other","Mucus"
"OTHER","Interaction","Other","Other"
"PALY","Interaction","Other","Palythoa spp."
"POOP","Interaction","Other","Parrotfish poop"
"RED","Interaction","Other","Red"
"ROCKS","Interaction","Other","Rocks"
"RUBBLE","Interaction","Other","Rubble"
"SCRAPES","Interaction","Other","Scrapes"
"SEAGRASS","Interaction","Other","Seagrass"
"SED","Interaction","Other","Sediment"
"SNAIL","Interaction","Other","Snail"
"TUNIC","Interaction","Other","Tunicate"
"URCHIN","Interaction","Other","Urchin"
"ZOAN","Interaction","Other","Zoanthid"
"BFLY","Interaction","Predation","Butterflyfish"
"BITES","Interaction","Predation","Bites"
"CHIMN","Interaction","Predation","Chimney"
"CPHILA","Interaction","Predation","Coralliophila spp."
"DFSP","Interaction","Predation","Damselfish spp."
"DIAD","Interaction","Predation","Diadema antillarum"
"GALLS","Interaction","Predation","Galls"
"HERM","Interaction","Predation","Hermit"
"HERMSP","Interaction","Predation","Hermodice spp."
"MCHRY","Interaction","Predation","Microspathodon chrysurus"
"PFISH","Interaction","Predation","Parrotfish"
"PRED","Interaction","Predation","Predation"
"SADUS","Interaction","Predation","Stegastes adustus"
"SLEUC","Interaction","Predation","Stegastes leucostictus"
"SPLAN","Interaction","Predation","Stegastes planifrons"
"WORM","Interaction","Predation","Worm"
"BASP","Interaction","Sponge","Barrel sponge"
"BOSP","Interaction","Sponge","Boring sponge"
"CLIO","Interaction","Sponge","Cliothosa delitrix (formerly Cliona delitrix)"
"CLSP","Interaction","Sponge","Cliona spp."
"ENSP","Interaction","Sponge","Encrusting sponge"
"ICING","Interaction","Sponge","Icing sponge"
"ROPE","Interaction","Sponge","Rope sponge"
"SPO","Interaction","Sponge","Sponge"
"TUBE","Interaction","Sponge","Tube sponge"
"CHMN","Interaction","Worm","Chimney"
"FDUST","Interaction","Worm","Featherduster"
"FIRE","Interaction","Worm","Fireworm"
"WORM","Interaction","Worm","Worm"
"XMAS","Interaction","Worm","Christmas tree worm"
"CPHILA","Multiple","Multiple","Coralliophila spp.: not distinguished between Interaction, Predator, Predation"
"DFSP","Multiple","Multiple","Damselfish spp.: not distinguished between Interaction, Predator, Predation"
"DIAD","Multiple","Multiple","Diadema antillarum: not distinguished between Interaction, Predator, Predation"
"HERM","Multiple","Multiple","Hermit: not distinguished between Interaction, Predator, Predation"
"HERMSP","Multiple","Multiple","Hermodice spp.: not distinguished between Interaction, Predator, Predation"
"MCHRY","Multiple","Multiple","Microspathodon chrysurus: not distinguished between Interaction, Predator, Predation"
"SADUS","Multiple","Multiple","Stegastes adustus: not distinguished between Interaction, Predator, Predation"
"SLEUC","Multiple","Multiple","Stegastes leucostictus: not distinguished between Interaction, Predator, Predation"
"SNAIL","Multiple","Multiple","Snail: not distinguished between Interaction, Predator, Predation"
"SPLAN","Multiple","Multiple","Stegastes planifrons: not distinguished between Interaction, Predator, Predation"
"WORM","Multiple","Multiple","Worm: not distinguished between Interaction, Predator, Predation"
"CABBR","Predator","Corallivore","Coraliophila abbreviata"
"CPHILA","Predator","Corallivore","Coralliophila spp."
"CTIBI","Predator","Corallivore","Calcinus tibicen"
"CVORE","Predator","Corallivore","Corallivore"
"HERM","Predator","Corallivore","Hermit"
"HERMSP","Predator","Corallivore","Hermodice spp."
"SNAIL","Predator","Corallivore","Snail"
"WORM","Predator","Corallivore","Worm"
"DFSP","Predator","Damselfish","Damselfish spp."
"MCHRY","Predator","Damselfish","Microspathodon chrysurus"
"SADUS","Predator","Damselfish","Stegastes adustus"
"SDIEN","Predator","Damselfish","Stegastes diencaeus"
"SLEUC","Predator","Damselfish","Stegastes leucostictus"
"SPARI","Predator","Damselfish","Stegastes partitus"
"SPLAN","Predator","Damselfish","Stegastes planifrons"
"SVARI","Predator","Damselfish","Stegastes variabilis"
